,Landmark Name,Category,Province & District,GPS Coordinates,Description,History,Built By / Founder,Year Built / Historical Period,Cultural/Religious Significance,Main Attractions,Opening Hours,Average Visit Duration:,Ticket Price (Foreign),Best Time to Visit,Nearby Attractions,Nearby Hotels,Nearby Restaurants, 
116,Munneswaram Temple,Temple / Religious Site,North Western Province – Puttalam District,"7.5667° N, 79.8667° E","Munneswaram Temple is one of Sri Lanka’s oldest Hindu temples, dedicated mainly to Lord Shiva. It is famous for its annual festivals and religious importance among Hindu communities.","The temple is believed to have ancient origins dating back over a thousand years, with traditions connecting it to the Ramayana period. It was damaged and rebuilt several times during Portuguese and later colonial periods but continued as a major Hindu centre.",Ancient Hindu rulers; renovated by later kings,One of Sri Lanka’s oldest Hindu temples dedicated to Lord Shiva.,"Shiva shrine, temple towers, festivals, sculptures.",6:00 AM – 8:00 PM,1–2 hours,Donation,July–August festival season; morning/evening,"Manavari Temple, Chilaw Beach, St Anne’s Shrine, Negombo, Muthurajawela","Anantaya Resort Chilaw, Carolina Beach Resort, Jetwing Blue, Heritance Negombo, Jetwing Beach","Sea Food Palace, Lords Restaurant, The Lagoon, Dolce Vita, local Chilaw restaurants",, 
117,St. Anne's Shrine Talawila,Church / Religious Site,North Western Province – Puttalam District,"8.0333° N, 79.7500° E","St. Anne’s Shrine in Talawila is one of Sri Lanka’s most important Catholic pilgrimage sites, located along the western coastline. It attracts thousands of devotees during annual religious festivals.","The shrine’s origins date back several centuries, with traditions linking it to a miraculous discovery of a statue of St. Anne by fishermen. The present church developed during the Portuguese and later colonial periods as Catholic devotion expanded in the region.",Portuguese missionaries,17th century onward,Major Catholic pilgrimage church dedicated to St. Anne.,"Church, religious ceremonies, annual festival, beach surroundings.",1–2 hours,Free,February–March and July–August festivals,"Kalpitiya Beach, Wilpattu, Dutch Fort Kalpitiya, Anawilundawa, Negombo","Bar Reef Resort, Palagama Beach, Dolphin Beach Resort, Jetwing Lagoon, Anantaya Resort","Tuna & Crab Restaurant, Lagoon Restaurant, local seafood restaurants, Kalpitiya cafes, beach restaurants",, 
118,Kalpitiya Beach,Beach,North Western Province – Puttalam District,"8.2333° N, 79.7667° E","Kalpitiya Beach is a beautiful coastal destination famous for dolphin watching, kite surfing, lagoons, and marine activities. It offers a mix of adventure tourism and peaceful beach experiences.","Kalpitiya has a long maritime history influenced by Arab, Portuguese, and Dutch traders. The area developed as a tourism destination in recent decades due to its unique lagoon ecosystem and water sports opportunities.",Natural coastal area,Important marine tourism destination famous for dolphins and kitesurfing.,"Dolphin watching, kitesurfing, lagoons, beaches, coral reefs.",Open access,Half day–multiple days,Free (activities extra),November–March; morning dolphin tours,"St Anne’s Shrine, Dutch Fort Kalpitiya, Wilpattu National Park, Bar Reef, Anawilundawa Wetland","Bar Reef Resort, Palagama Beach, Dolphin Beach Resort, Salt Bay Kite Resort, Ruins Villa","Tuna & Crab Restaurant, The Crab Shack, Kalpitiya Seafood Restaurant, Kite House Cafe, local beach restaurants",, 
119,Wilpattu Visitor Centre,Visitor Centre / National Park Facility,North Western Province – Puttalam District,"8.3833° N, 80.0000° E","Wilpattu Visitor Centre provides information about Sri Lanka’s largest national park, including wildlife, conservation, and safari guidance. It serves as the starting point for visitors exploring the park.","The visitor centre was developed as part of modern wildlife conservation management at Wilpattu National Park. It supports education and awareness about protecting the park’s forests, lakes, and wildlife species.",Department of Wildlife Conservation,Modern facility developed after national park establishment,Provides education and information about Wilpattu wildlife conservation.,"Exhibits, safari information, maps, wildlife displays, orientation area.",6:00 AM – 6:00 PM,30–60 minutes,Included with park entry,February–October; morning before safari,"Wilpattu National Park, Anuradhapura, Puttalam Lagoon, Kalpitiya, Thanthirimale Temple","Big Game Wilpattu, Wilpattu Safari Camp, Thimbiri Wewa Resort, Rajarata Hotel, Avasta Resort","Wilpattu Safari Camp Restaurant, Seedevi Restaurant, Casserole Restaurant, Milano Restaurant, local Puttalam restaurants", 
120,Kumana National Park,National Park,Eastern Province – Ampara District,"5.9500° N, 81.7500° E","Kumana National Park is a famous wildlife sanctuary on Sri Lanka’s southeast coast, especially known for bird watching and wetlands. It is one of the country’s most important bird habitats.",Kumana was declared a wildlife sanctuary in 1938 and later became a national park in 2006. The park’s Kumana Villu wetland attracts thousands of migratory birds and has long been important for conservation and eco-tourism.,Sri Lankan government,Declared wildlife sanctuary in 1938; national park in 2006,Important bird sanctuary and wetland ecosystem on Sri Lanka’s southeast coast.,"Bird watching, lagoons, elephants, crocodiles, safari trails.",6:00 AM – 6:00 PM,3–5 hours safari,Approx. USD 25–35 + jeep fees,May–September; morning safari,"Arugam Bay, Panama Beach, Kudumbigala Monastery, Okanda Temple, Lahugala National Park","Jetwing Surf, Blue Wave Hotel Arugam Bay, The Spice Trail, Kottukal Beach House, Arugam Bay Roccos","Hideaway Restaurant, Gecko Restaurant, Waves Restaurant, Arugam Bay Restaurant, Pizza Point", 
121,Gal Oya National Park,National Park,Eastern Province – Ampara District,"7.0000° N, 81.3333° E","Gal Oya National Park is a beautiful wildlife reserve in eastern Sri Lanka, famous for elephants, forests, islands, and boat safaris on Senanayake Samudraya. It offers one of the country’s most unique safari experiences.","The park was established in 1954 to protect the catchment area of the Gal Oya Reservoir. It became an important conservation area after the Gal Oya development project, which transformed the region through irrigation and agriculture.",Sri Lankan government,Established in 1954,Unique national park famous for boat safaris and biodiversity.,"Senanayake Samudraya boat safari, elephants swimming, islands, birds.",6:00 AM – 6:00 PM,Half day,Approx. USD 25–35 + safari fees,March–September; morning,"Senanayake Samudraya, Dighavapi Temple, Ampara, Kumana, Lahugala","Gal Oya Lodge, The Explorer by Mahoora, Hotel Ampara, Monty Guest House, Araliya Resort","Gal Oya Lodge Restaurant, Green Heritage Restaurant, local Ampara restaurants, Hotel restaurants, village cafes", 
122,Senanayake Samudraya,Reservoir / Lake,Eastern Province – Ampara District,"7.0500° N, 81.3500° E","Senanayake Samudraya is Sri Lanka’s largest reservoir, surrounded by mountains, islands, and wildlife habitats. It is a scenic destination for boat rides, fishing, and nature experiences.","The reservoir was created in 1951 as part of the Gal Oya Development Scheme under the leadership of Prime Minister D. S. Senanayake. It was built across the Gal Oya River to support irrigation, agriculture, and rural development.",Built under the Gal Oya Development Scheme,Completed in 1948,Largest reservoir in Sri Lanka and important irrigation landmark.,"Boat rides, islands, wildlife viewing, sunsets, fishing villages.",7:00 AM – 5:00 PM,2–3 hours,Boat fees apply,March–September; sunrise/sunset,"Gal Oya National Park, Dighavapi Temple, Ampara, Lahugala, Kumana","Gal Oya Lodge, Hotel Ampara, Monty Guest House, local eco lodges, Araliya Resort","Gal Oya Lodge Restaurant, Green Heritage Restaurant, Ampara restaurants, village cafes, hotel restaurants",
123,Lahugala National Park,National Park,Eastern Province – Ampara District,"6.9500° N, 81.3500° E","Lahugala National Park is a small but important wildlife reserve famous for elephants, reservoirs, and birdlife. It is one of the best places in eastern Sri Lanka to observe elephants gathering around wetlands.",The area was declared a wildlife sanctuary in 1966 and upgraded to a national park in 1980. It protects the ecosystems surrounding ancient irrigation tanks such as Lahugala and Mahawewa.,Sri Lankan government,National park declared in 1980,Important elephant habitat and dry-zone ecosystem.,"Elephant herds, reservoirs, birds, wildlife safaris.",6:00 AM – 6:00 PM,3 hours,Approx. USD 20–30 + safari fees,May–September; afternoon safari,"Kumana, Arugam Bay, Gal Oya, Muhudu Maha Viharaya, Panama","Blue Wave Hotel, Jetwing Surf, The Spice Trail, Kottukal Beach House, Arugam Bay Roccos","Gecko Restaurant, Hideaway Restaurant, Waves Restaurant, Pizza Point, Arugam Bay Restaurant",
124,Deegawapiya Raja Maha Viharaya,Temple / Religious Site,Eastern Province – Ampara District,"7.0000° N, 81.5667° E","Deegawapiya Raja Maha Viharaya is an ancient Buddhist pilgrimage site in eastern Sri Lanka, believed to be connected with the Buddha’s visits to the island. It is known for its historic stupa and religious importance.","According to Buddhist chronicles, the Buddha visited Deegawapiya during his third visit to Sri Lanka. King Saddhatissa built the Deegawapiya Stupa in the 2nd century BC, and it became an important religious centre in the ancient Ruhuna region.",King Saddhatissa (traditional attribution),2nd century BC,Sacred Buddhist site believed to have been blessed by Buddha.,"Ancient stupa, ruins, meditation areas, religious ceremonies.",6:00 AM – 6:00 PM,1 hour,Donation,Year-round; morning,"Gal Oya National Park, Senanayake Samudraya, Ampara, Lahugala, Kumana","Gal Oya Lodge, Hotel Ampara, Monty Guest House, Arugam Bay hotels, eco lodges","Ampara restaurants, Gal Oya Lodge Restaurant, Green Heritage Restaurant, village cafes, hotel restaurants",
125,Nallur Kandaswamy Temple,Temple / Religious Site,Northern Province – Jaffna District,"9.6680° N, 80.0180° E","Nallur Kandaswamy Temple is one of the most sacred Hindu temples in Sri Lanka, dedicated to Lord Murugan. It is famous for its colourful architecture, rituals, and annual festival.","The original Nallur temple was established in the 10th century, while the present structure was rebuilt in 1734 during the Dutch colonial period by Ragunatha Maapaana Mudaliyar. It became the spiritual centre of Tamil Hindu culture in Jaffna.",Hindu rulers of Jaffna Kingdom,Originally 10th century; current temple rebuilt in 18th century,One of Sri Lanka’s most important Hindu temples dedicated to Lord Murugan.,"Golden temple tower, rituals, annual festival, architecture.",5:00 AM – 12:00 PM & 4:00 PM – 9:00 PM,Free / Donation,July–August festival season; evening,"Jaffna Fort, Jaffna Library, Nagadeepa, Delft Island, Point Pedro","Jetwing Jaffna, The Thinnai, North Gate Hotel, Jaffna Heritage Hotel, Tilko City Hotel","Malayan Cafe, Mangoes Restaurant, Malayan Cafe, Rio Ice Cream, Nallur Bhavan",,
126,Jaffna Fort,Fort / Historical Site,Northern Province – Jaffna District,"9.6625° N, 80.0125° E","Jaffna Fort is a historic coastal fortress located near the Jaffna Lagoon, known for its massive walls and colonial architecture. It is one of the best-preserved examples of European military construction in northern Sri Lanka.","The Portuguese built the original fort in 1618, and the Dutch captured and expanded it in 1680. Later used by the British and affected during the Sri Lankan civil conflict, it has undergone restoration as a heritage site.",Portuguese; expanded by Dutch,Built 1618; expanded in 17th century,Colonial fortress representing European influence in northern Sri Lanka.,"Fort walls, moat, churches, sea views, ruins.",8:00 AM – 6:00 PM,Approx. USD 5,January–September; evening,"Nallur Temple, Jaffna Library, Delft Island, Nagadeepa, Point Pedro","Jetwing Jaffna, The Thinnai, North Gate Hotel, Tilko City Hotel, Jaffna Heritage Hotel","Mangoes Restaurant, Malayan Cafe, Rio Ice Cream, Nallur Bhavan, Green Grass Hotel Restaurant",,
127,Nagadeepa Purana Vihara,Temple / Religious Site,Northern Province – Jaffna District,"9.6167° N, 79.7667° E","Nagadeepa Purana Vihara is a sacred Buddhist temple located on Nainativu Island, believed to be one of the places visited by the Buddha. It is an important pilgrimage destination for Buddhists.","According to Buddhist chronicles, the Buddha visited Nagadeepa in the 5th year after enlightenment to settle a dispute between two Naga kings. The temple has been rebuilt and maintained through centuries of Buddhist devotion.",Ancient Buddhist devotees,Ancient period; associated with Buddha’s visit according to tradition,"Buddhist temple, stupa, sacred Bo tree, island pilgrimage.","Temple shrine, stupa, sea views, boat journey.",7:00 AM – 6:00 PM,Donation,January–September; morning,"Nainativu Hindu Temple, Jaffna Fort, Delft Island, Nagadeepa Island, Jaffna Library","Jetwing Jaffna, The Thinnai, North Gate Hotel, Tilko City Hotel, Jaffna Heritage Hotel","Mangoes Restaurant, Malayan Cafe, Rio Ice Cream, Nallur Bhavan, Green Grass",,
